,ProductionUnit,Prod_Id,ForecastStartTime,ForecastEndTime,ForecastQuantity
13895,BI4 Machine,5914,1725691380000,1725736867000,119.0
13922,BI4 Machine,10520,1725736920000,1725770900000,82.0
13930,BI4 Machine,1252,1725771720000,1725798300000,104.0
13943,BI4 Machine,1251,1725798960000,1725859750000,194.0
13965,BI4 Machine,1252,1725860340000,1725883087000,89.0
14008,BI4 Machine,1252,1725966840000,1725989587000,89.0
14018,BI4 Machine,10520,1725990240000,1726020491000,73.0
14035,BI4 Machine,1251,1726020900000,1726043774000,73.0
14047,BI4 Machine,1252,1726044240000,1726089733000,178.0
14063,BI4 Machine,5914,1726090620000,1726136108000,119.0
14101,BI4 Machine,1251,1726153201000,1726213990000,194.0
14128,BI4 Machine,1252,1726215360000,1726283599000,267.0
14172,BI4 Machine,1251,1726284240000,1726337195000,169.0
14188,BI4 Machine,1252,1726337700000,1726360447000,89.0
13880,CFR1 Parent Rolls,12117,1725635280000,1725757011000,1258.0
13926,CFR1 Parent Rolls,12119,1725757329000,1725836133000,792.0
13980,CFR1 Parent Rolls,12117,1725897601000,1725922566000,258.0
13989,CFR1 Parent Rolls,12119,1725922800000,1725980709000,582.0
14011,CFR1 Parent Rolls,12117,1725980820000,1726008882000,290.0
14033,CFR1 Parent Rolls,12119,1726009200000,1726067109000,582.0
14053,CFR1 Parent Rolls,12117,1726067160000,1726095540000,293.285
14076,CFR1 Parent Rolls,12119,1726095660000,1726153569000,582.0
14105,CFR1 Parent Rolls,12117,1726153680000,1726181760000,290.185
14118,CFR1 Parent Rolls,12119,1726181938000,1726221340000,396.0
14139,CFR1 Parent Rolls,12117,1726221540000,1726233720000,125.871397425
13884,L07 Winder,13807,1725647573000,1725786223000,600000.0
13938,L07 Winder,13807,1725794400000,1725925193000,522000.0
13998,L07 Winder,14166,1725933477000,1725965082000,129600.0
14013,L07 Winder,14166,1725984000000,1726159760000,691200.0
14116,L07 Winder,13807,1726165980000,1726233720000,247738.6322077289
13908,L08 Winder,13807,1725731280000,1725819440000,432000.0
13956,L08 Winder,13807,1725826680000,1725914758000,425040.0
13987,L08 Winder,13807,1725919800000,1726008696000,408000.0
14109,L08 Winder,13807,1726156800000,1726233720000,309791.169451074
13928,L09 Winder,13820,1725767640000,1725854040000,148032.0
13959,L09 Winder,13820,1725857700000,1725983306000,258912.0
14015,L09 Winder,13277,1725987780000,1726080532000,78000.0
14061,L09 Winder,11510,1726084980000,1726138792000,120000.0
14090,L09 Winder,11510,1726142100000,1726201507000,96000.0
14136,L09 Winder,13817,1726217220000,1726233720000,33784.3184578801
13899,L10 Winder,13816,1725715980000,1725907360000,444000.0
13983,L10 Winder,13817,1725911100000,1725997187000,247500.0
14024,L10 Winder,13817,1726000560000,1726047517000,135000.0
14070,L10 Winder,13817,1726092000000,1726133739000,120000.0
14085,L10 Winder,13816,1726138200000,1726218372000,186000.0
14141,L10 Winder,13817,1726223220000,1726233720000,25148.2036569177
13924,L11 Winder,13817,1725742440000,1725785446000,104000.0
13966,L11 Winder,13817,1725862140000,1726137561000,876000.0
14095,L11 Winder,13817,1726153200000,1726224885000,228000.0
13936,PB1 Winder,13979,1725774960000,1725873106000,336000.0
13984,PB1 Winder,13979,1725919201000,1725989305000,240000.0
14023,PB1 Winder,13861,1725996000000,1726233720000,1200671.03198225
13887,PB2 Winder,13961,1725648060000,1725998022000,1332000.0
14030,PB2 Winder,13966,1726005000000,1726223721000,720000.0
14146,PB2 Winder,13756,1726232401000,1726233720000,5277.3743162282
13902,PB3 Winder,13868,1725718500000,1725922798000,720000.0
13995,PB3 Winder,13963,1725931809000,1726110216000,720000.0
14082,PB3 Winder,14153,1726116420000,1726223641000,306000.0
14144,PB3 Winder,13869,1726232401000,1726233720000,4606.6030013643
13900,PB4 Winder,14235,1725716760000,1725802538000,486000.0
13950,PB4 Winder,14234,1725803820000,1726163524000,2256000.0
14113,PB4 Winder,14233,1726164180000,1726233720000,337712.6834391652
13882,PB5 Winder,14231,1725642840000,1726101837000,3000000.0
14078,PB5 Winder,13968,1726105740000,1726137409000,144000.0
14112,PB5 Winder,13968,1726156801000,1726233720000,303721.9896532183
13905,PB6 Winder,14206,1725719220000,1725886255000,624000.0
13975,PB6 Winder,14208,1725894780000,1726045919000,720000.0
14051,PB6 Winder,13974,1726050720000,1726138758000,360000.0
14094,PB6 Winder,13962,1726146001000,1726233720000,306345.0936697072
13891,TM3 Machine,1713,1725689700000,1725735051000,150.0
13913,TM3 Machine,391,1725735540000,1725803828000,181.0
13953,TM3 Machine,1713,1725804840000,1725850192000,150.0
13972,TM3 Machine,391,1725879480000,1725924753000,120.0
13993,TM3 Machine,1713,1725925200000,1725947876000,75.0
13999,TM3 Machine,391,1725948780000,1726001978000,141.0
14029,TM3 Machine,1713,1726002960000,1726037125000,113.0
14044,TM3 Machine,391,1726037460000,1726094429000,151.0
14073,TM3 Machine,1713,1726094880000,1726140231000,150.0
14088,TM3 Machine,391,1726140600000,1726185872000,120.0
14122,TM3 Machine,1713,1726186440000,1726216675000,100.0
14132,TM3 Machine,391,1726217220000,1726247403000,80.0
14151,TM3 Machine,1713,1726248540000,1726282705000,113.0
14169,TM3 Machine,391,1726283220000,1726317175000,90.0
14182,TM3 Machine,391,1726317120000,1726370316000,141.0
14194,TM3 Machine,1713,1726371060000,1726406520000,117.2836239515
